inverse_volatility,minimum_variance,minimum_variance_oas
-8.074114781827949e-05,-0.0007931365059080389,-0.0008520034970725961
-5.03071726757979e-05,-0.0002441422761875984,-0.0002781009884599225
3.717514113327657e-05,-3.104730275669668e-05,-0.00011949105113010155
7.368690734165331e-05,-1.9365837084345093e-05,-0.0002093513480116326
-7.960693045606088e-05,-0.0004477177921138637,-0.0006497696278369915
1.0803640998083129e-05,-0.00031543999268821276,-0.0004360228985566965
5.48588869346527e-05,-0.0008226632699705989,-0.0009751017692504889
-3.312028350171178e-05,-0.0007448888575643626,-0.0009569527290565095
7.989460503158143e-05,9.46789257307754e-05,-0.00011974393229792233
0.00011726719950992044,0.00032055607900617985,0.00011438346456149742
4.033872950709501e-05,0.00028785532913863925,5.15398247952597e-05
2.6643435415817167e-05,-0.000370874613101509,-0.0005055224984728732
8.404856724911376e-05,0.0005971074528396844,0.0003613181943842854
4.8509351469004744e-05,-0.00010193933117395682,-0.00020769407839000263
3.6526442604887307e-05,0.00023038162098669923,9.194361126079473e-06
8.744908141685126e-06,-0.00024765058925376197,-0.0003811096093705298
3.074198466748788e-05,-8.166946929935318e-05,-0.0001560911942202176
4.071335403355112e-05,-0.00016381601062824563,-0.000238535732326186
0.0001873689438815928,-0.0002716824667688592,-0.000529440540154106
-8.601741053719807e-07,-0.0003354678107526643,-0.00039688791899456996
0.00014258592698021446,5.247973599399871e-05,-0.00034620584193867154
7.472201695311452e-05,0.00010865607523894935,-8.464996485406091e-06
-5.602969492697626e-05,-0.0001415234577513103,-0.00019934294151357425
0.00016139763734452243,-0.00032912478505926524,-0.00045558271731421275
0.00011503135881979877,5.8200337606531386e-05,-0.0002358492432828602
7.2353207238614985e-06,-0.00048722095937260915,-0.0006619069004748458
-7.641949347525685e-06,-0.0002893215061637027,-0.0004451717931244017
9.22899555109432e-05,0.0005787784266287006,0.00039747613954880005
0.00013791591038124097,-5.566828820344582e-05,-0.000218955558296339
4.8799431899607094e-05,-0.00046138201442945463,-0.0005442757735904925
0.00012986317153066787,-7.964854280663694e-05,-0.0001626252332573736
3.2714640785801955e-05,-1.6139262173487485e-06,-0.0002545253693660235
-2.0461931583375646e-06,7.28810532592027e-05,-0.00014782622658388066
-3.6466561181786695e-05,-0.00042703721788761427,-0.00048406271225727866
-2.3011404725076207e-05,-9.424518559090461e-05,-0.0002716269121765205
-6.787046773544064e-05,-0.00046380512531283766,-0.0004943530825670342
7.88985405182578e-05,-0.0016083205001488326,-0.001741214859952693
4.645570417812671e-05,0.000532263849680016,0.0003848510083656607
-3.51168431629958e-05,-0.0005491571443408448,-0.0006270658249041443
0.00011171154830303643,0.00018789295920092225,4.4070747360754734e-05
-1.5542336153431027e-05,8.671612421240821e-05,-9.745996725346535e-05
0.00014116327311295096,-0.00038585406556906465,-0.0006952367589875641
0.00011631381248139515,-0.0002592283806658828,-0.0004895723916728277
9.974674661459312e-05,-4.144871524414188e-05,-0.00021071892340229146
1.2231424946947123e-05,-0.0008921676096385308,-0.001087705488598264
2.5857894675629825e-05,-0.0003160243255865374,-0.00043812455658370314
-8.769123011949948e-05,-0.00021714990365571626,-0.0003048085536833809
-0.00011094376669386506,-0.0005858354398618872,-0.0007232468267285733
0.00011595087802717543,0.00015007934189317372,1.588637250757385e-05
0.00013133554819832943,0.0006648279084139844,0.0003855174075906778
3.5040453865218103e-06,-0.0006174157481738829,-0.0007471749065203269
0.00011784344454324005,0.0008204831554941076,0.0005354334461454674
4.853227560953273e-05,-0.0006258670702382258,-0.0006949043863344719
7.90853931387556e-05,-0.0006768378509760094,-0.0007857760097403168
