message_type,sending_time,arrival_time
MarketChange,1772701422668453000,1772701422668575669
MarketChange,1772701422668962000,1772701422669067420
MarketChange,1772701422669101000,1772701422669192880
Ticker,1772701423118607000,1772701423118786875
Ticker,1772701423118642000,1772701423118909794
Ticker,1772701423118656000,1772701423118912304
MarketChange,1772701423118656000,1772701423118912304
MarketChange,1772701423118966000,1772701423119036376
MarketChange,1772701423119091000,1772701423119284116
MarketChange,1772701423202708000,1772701423202777429
MarketChange,1772701423266434000,1772701423266508787
MarketChange,1772701423280281000,1772701423280350767
MarketChange,1772701423350994000,1772701423351127685
Ticker,1772701423718604000,1772701423718758815
MarketChange,1772701423718604000,1772701423718758815
MarketChange,1772701423755299000,1772701423755428440
MarketChange,1772701423755632000,1772701423755744316
MarketChange,1772701423767120000,1772701423767208045
MarketChange,1772701423767151000,1772701423767332531
MarketChange,1772701423767361000,1772701423767454568
MarketChange,1772701423767604000,1772701423767662326
MarketChange,1772701423767630000,1772701423767789722
Ticker,1772701423767810000,1772701423768036826
MarketChange,1772701423767810000,1772701423768036826
MarketChange,1772701423768607000,1772701423768792253
Ticker,1772701423785452000,1772701423785542254
Ticker,1772701423785465000,1772701423785669403
MarketChange,1772701423785465000,1772701423785669403
Ticker,1772701423785963000,1772701423786097020
MarketChange,1772701423785963000,1772701423786097020
Ticker,1772701423786203000,1772701423786470184
Ticker,1772701423786213000,1772701423786472591
MarketChange,1772701423786222000,1772701423786477511
Ticker,1772701423787532000,1772701423787716599
MarketChange,1772701423787532000,1772701423787716599
MarketChange,1772701423789642000,1772701423789805991
MarketChange,1772701423793664000,1772701423793898538
MarketChange,1772701423799163000,1772701423799282744
MarketChange,1772701423800210000,1772701423800368376
MarketChange,1772701423800692000,1772701423800855712
Ticker,1772701423802111000,1772701423802353751
Ticker,1772701423802124000,1772701423802356138
MarketChange,1772701423802124000,1772701423802356138
MarketChange,1772701423829293000,1772701423829490351
MarketChange,1772701423839538000,1772701423839660916
MarketChange,1772701423839810000,1772701423840001256
MarketChange,1772701423870312000,1772701423870442807
Ticker,1772701423886418000,1772701423886582040
Ticker,1772701423886435000,1772701423886707959
MarketChange,1772701423886435000,1772701423886707959
MarketChange,1772701423886729000,1772701423886845019
Ticker,1772701423893308000,1772701423893466065
Ticker,1772701423893322000,1772701423893590316
MarketChange,1772701423893322000,1772701423893590316
MarketChange,1772701424067696000,1772701424067785783
MarketChange,1772701424204327000,1772701424204395649
MarketChange,1772701424266234000,1772701424266308697
Ticker,1772701424440374000,1772701424440472331
MarketChange,1772701424440374000,1772701424440472331
MarketChange,1772701424440671000,1772701424440740463
MarketChange,1772701424446713000,1772701424446782194
Ticker,1772701424795105000,1772701424795188825
MarketChange,1772701424795105000,1772701424795188825
MarketChange,1772701424796756000,1772701424797006831
MarketChange,1772701424816923000,1772701424817100271
MarketChange,1772701424817039000,1772701424817106604
Ticker,1772701424824462000,1772701424824653337
Ticker,1772701424824476000,1772701424824655696
MarketChange,1772701424824476000,1772701424824655696
MarketChange,1772701424842729000,1772701424842914738
Ticker,1772701424849280000,1772701424849457077
MarketChange,1772701424849280000,1772701424849457077
MarketChange,1772701424853189000,1772701424853344439
Ticker,1772701424903034000,1772701424903195295
MarketChange,1772701424903034000,1772701424903195295
Ticker,1772701424906147000,1772701424906322295
MarketChange,1772701424906147000,1772701424906322295
MarketChange,1772701424906288000,1772701424906443481
MarketChange,1772701424917739000,1772701424917988754
MarketChange,1772701424929770000,1772701424929963677
Ticker,1772701424929829000,1772701424930088375
MarketChange,1772701424929829000,1772701424930088375
Ticker,1772701424932610000,1772701424932888409
MarketChange,1772701424932610000,1772701424932888409
Ticker,1772701424932655000,1772701424932889311
MarketChange,1772701424932655000,1772701424932889311
MarketChange,1772701424960592000,1772701424960706211
MarketChange,1772701425011405000,1772701425011487420
Ticker,1772701425175564000,1772701425175720085
MarketChange,1772701425175564000,1772701425175720085
MarketChange,1772701425175928000,1772701425176145481
MarketChange,1772701425200819000,1772701425200896762
MarketChange,1772701425210172000,1772701425210291647
MarketChange,1772701425272803000,1772701425272874128
MarketChange,1772701425276704000,1772701425276773313
MarketChange,1772701425276926000,1772701425277066055
Ticker,1772701425703040000,1772701425703138628
MarketChange,1772701425703040000,1772701425703138628
MarketChange,1772701425852485000,1772701425852564251
MarketChange,1772701425852749000,1772701425852810940
Ticker,1772701425861504000,1772701425861602270
MarketChange,1772701425861504000,1772701425861602270
MarketChange,1772701425861761000,1772701425861824982
MarketChange,1772701426053334000,1772701426053414112
MarketChange,1772701426486972000,1772701426487049346
Ticker,1772701426487356000,1772701426487461365
MarketChange,1772701426487356000,1772701426487461365
MarketChange,1772701426487427000,1772701426487586502
MarketChange,1772701426646975000,1772701426647081045
MarketChange,1772701426888116000,1772701426888192669
MarketChange,1772701427189960000,1772701427190039153
Ticker,1772701427190329000,1772701427190456985
MarketChange,1772701427190329000,1772701427190456985
MarketChange,1772701427190448000,1772701427190581132
MarketChange,1772701427388659000,1772701427388754825
MarketChange,1772701427510790000,1772701427510859267
Ticker,1772701427511060000,1772701427511196698
MarketChange,1772701427511060000,1772701427511196698
Ticker,1772701427613389000,1772701427613487871
MarketChange,1772701427613389000,1772701427613487871
MarketChange,1772701427615984000,1772701427616105453
MarketChange,1772701427616256000,1772701427616372361
MarketChange,1772701427717042000,1772701427717161437
MarketChange,1772701427786868000,1772701427786950502
Ticker,1772701428133751000,1772701428133853299
MarketChange,1772701428133751000,1772701428133853299
Ticker,1772701428250055000,1772701428250158403
MarketChange,1772701428250055000,1772701428250158403
MarketChange,1772701428250338000,1772701428250405695
MarketChange,1772701428350080000,1772701428350156270
MarketChange,1772701428444174000,1772701428444321006
MarketChange,1772701428829803000,1772701428829870877
MarketChange,1772701428830051000,1772701428830167339
MarketChange,1772701429050737000,1772701429050814775
MarketChange,1772701430438228000,1772701430438290066
MarketChange,1772701430453980000,1772701430454049095
MarketChange,1772701431022039000,1772701431022106603
Ticker,1772701431022312000,1772701431022405250
MarketChange,1772701431022312000,1772701431022405250
Ticker,1772701431026990000,1772701431027073761
MarketChange,1772701431026990000,1772701431027073761
MarketChange,1772701431027275000,1772701431027333225
Ticker,1772701431028061000,1772701431028159813
Ticker,1772701431028079000,1772701431028283327
MarketChange,1772701431028079000,1772701431028283327
Ticker,1772701431028630000,1772701431028705992
MarketChange,1772701431028630000,1772701431028705992
Ticker,1772701431029196000,1772701431029271161
MarketChange,1772701431029196000,1772701431029271161
MarketChange,1772701431157775000,1772701431157843109
MarketChange,1772701431206319000,1772701431206396802
MarketChange,1772701431616834000,1772701431616913006
Ticker,1772701431629558000,1772701431629650456
MarketChange,1772701431629558000,1772701431629650456
Ticker,1772701431892711000,1772701431892804505
MarketChange,1772701431892711000,1772701431892804505
MarketChange,1772701431949659000,1772701431949733441
MarketChange,1772701431996899000,1772701431996967883
MarketChange,1772701432017518000,1772701432017601230
MarketChange,1772701432073211000,1772701432073283163
MarketChange,1772701432515432000,1772701432515537767
MarketChange,1772701432515717000,1772701432515783981
MarketChange,1772701432520900000,1772701432520968014
MarketChange,1772701432576313000,1772701432576403988
Ticker,1772701432618904000,1772701432619007646
MarketChange,1772701432618904000,1772701432619007646
MarketChange,1772701432619158000,1772701432619225841
MarketChange,1772701432619407000,1772701432619482431
MarketChange,1772701432635811000,1772701432635884918
MarketChange,1772701432706312000,1772701432706405124
MarketChange,1772701432816022000,1772701432816098891
MarketChange,1772701433111971000,1772701433112043489
MarketChange,1772701433192630000,1772701433192703028
Ticker,1772701433192926000,1772701433193007796
MarketChange,1772701433192926000,1772701433193007796
