message_type,sending_time,arrival_time
Ticker,1773219804641006000,1773219804641215467
Ticker,1773219804641027000,1773219804641218066
MarketChange,1773219804641027000,1773219804641218066
MarketChange,1773219804641281000,1773219804641343173
MarketChange,1773219804641708000,1773219804641853452
MarketChange,1773219804641768000,1773219804641854661
Ticker,1773219804922735000,1773219804922851625
Ticker,1773219804922749000,1773219804922973158
MarketChange,1773219804922749000,1773219804922973158
MarketChange,1773219805050048000,1773219805050118591
Ticker,1773219805165289000,1773219805165365286
MarketChange,1773219805165289000,1773219805165365286
Ticker,1773219805425116000,1773219805425217768
Ticker,1773219805425140000,1773219805425336661
MarketChange,1773219805425140000,1773219805425336661
MarketChange,1773219805425430000,1773219805425503408
MarketChange,1773219805631160000,1773219805631239361
MarketChange,1773219805631222000,1773219805631356177
MarketChange,1773219805631398000,1773219805631482680
Ticker,1773219805675286000,1773219805675418588
Ticker,1773219805675305000,1773219805675422167
Ticker,1773219805675317000,1773219805675530600
Ticker,1773219805675330000,1773219805675533772
MarketChange,1773219805675330000,1773219805675533772
MarketChange,1773219805675737000,1773219805675829797
MarketChange,1773219805779869000,1773219805779945461
MarketChange,1773219805934782000,1773219805934848353
MarketChange,1773219805934872000,1773219805934966848
MarketChange,1773219805934998000,1773219805935094116
Ticker,1773219806013673000,1773219806013757542
MarketChange,1773219806013673000,1773219806013757542
MarketChange,1773219806036797000,1773219806036869738
MarketChange,1773219806245203000,1773219806245297129
MarketChange,1773219806487828000,1773219806487899268
MarketChange,1773219806579004000,1773219806579077033
MarketChange,1773219806579031000,1773219806579198272
Ticker,1773219806647305000,1773219806647395102
MarketChange,1773219806647305000,1773219806647395102
MarketChange,1773219806661201000,1773219806661270150
MarketChange,1773219806661255000,1773219806661393030
MarketChange,1773219806661428000,1773219806661519337
MarketChange,1773219807366450000,1773219807366521366
MarketChange,1773219807366698000,1773219807366919680
MarketChange,1773219807735503000,1773219807735577180
MarketChange,1773219808166193000,1773219808166289861
MarketChange,1773219808166488000,1773219808166558159
MarketChange,1773219808553239000,1773219808553305534
MarketChange,1773219808553467000,1773219808553526287
Ticker,1773219809598912000,1773219809599041258
MarketChange,1773219809598912000,1773219809599041258
MarketChange,1773219810007509000,1773219810007628794
MarketChange,1773219810071348000,1773219810071430905
MarketChange,1773219810632019000,1773219810632091117
MarketChange,1773219810658539000,1773219810658610748
MarketChange,1773219811872992000,1773219811873121974
MarketChange,1773219811879849000,1773219811879967568
MarketChange,1773219812070170000,1773219812070242134
Ticker,1773219812075486000,1773219812075575302
MarketChange,1773219812075486000,1773219812075575302
MarketChange,1773219812075779000,1773219812075839480
MarketChange,1773219812075832000,1773219812075966470
MarketChange,1773219812164891000,1773219812164959965
Ticker,1773219812418211000,1773219812418323439
MarketChange,1773219812418211000,1773219812418323439
Ticker,1773219812418311000,1773219812418446311
MarketChange,1773219812418311000,1773219812418446311
MarketChange,1773219812419628000,1773219812419692289
MarketChange,1773219812419656000,1773219812419816063
MarketChange,1773219812421775000,1773219812421934090
MarketChange,1773219812422365000,1773219812422444602
MarketChange,1773219812423242000,1773219812423299624
Ticker,1773219812922601000,1773219812922752581
MarketChange,1773219812922601000,1773219812922752581
MarketChange,1773219812972527000,1773219812972598611
Ticker,1773219812972821000,1773219812972915241
MarketChange,1773219812972821000,1773219812972915241
MarketChange,1773219812972915000,1773219812973044376
MarketChange,1773219813115381000,1773219813115458767
MarketChange,1773219813226164000,1773219813226239580
MarketChange,1773219813376346000,1773219813376419341
MarketChange,1773219813493211000,1773219813493274336
MarketChange,1773219813493268000,1773219813493395315
MarketChange,1773219813493449000,1773219813493644692
MarketChange,1773219813493804000,1773219813493913489
MarketChange,1773219814699647000,1773219814699719639
MarketChange,1773219815128781000,1773219815128861938
Ticker,1773219815692179000,1773219815692337735
MarketChange,1773219815692179000,1773219815692337735
MarketChange,1773219815692399000,1773219815692594330
MarketChange,1773219815692487000,1773219815692841905
MarketChange,1773219815692644000,1773219815692966131
MarketChange,1773219815692671000,1773219815692967943
MarketChange,1773219815692904000,1773219815693090614
MarketChange,1773219815693008000,1773219815693340659
MarketChange,1773219815693711000,1773219815693870229
Ticker,1773219815693804000,1773219815693988949
MarketChange,1773219815693804000,1773219815693988949
MarketChange,1773219815693938000,1773219815694117115
MarketChange,1773219815694134000,1773219815694339515
Ticker,1773219815694252000,1773219815694462848
MarketChange,1773219815694252000,1773219815694462848
MarketChange,1773219815694868000,1773219815695118351
MarketChange,1773219815694894000,1773219815695120135
Ticker,1773219815695963000,1773219815696229237
MarketChange,1773219815695963000,1773219815696229237
MarketChange,1773219815963823000,1773219815963950469
MarketChange,1773219816719475000,1773219816719546535
MarketChange,1773219816719717000,1773219816719785475
MarketChange,1773219816742026000,1773219816742089871
MarketChange,1773219817637705000,1773219817637772551
MarketChange,1773219817708821000,1773219817708877554
Ticker,1773219817709194000,1773219817709300416
MarketChange,1773219817709194000,1773219817709300416
MarketChange,1773219817709259000,1773219817709454928
MarketChange,1773219817709348000,1773219817709580502
MarketChange,1773219817710261000,1773219817710325681
MarketChange,1773219817710620000,1773219817710919515
MarketChange,1773219817710650000,1773219817710921390
MarketChange,1773219817712209000,1773219817712293580
MarketChange,1773219817762824000,1773219817763040959
MarketChange,1773219817762916000,1773219817763162017
MarketChange,1773219818807818000,1773219818807936794
MarketChange,1773219818808107000,1773219818808266098
MarketChange,1773219818808133000,1773219818808392731
MarketChange,1773219818808158000,1773219818808394395
Ticker,1773219818808207000,1773219818808516385
MarketChange,1773219818808218000,1773219818808519090
Ticker,1773219818808259000,1773219818808521400
MarketChange,1773219818808259000,1773219818808521400
MarketChange,1773219818808290000,1773219818808640626
Ticker,1773219818809153000,1773219818809265909
MarketChange,1773219818809153000,1773219818809265909
MarketChange,1773219818809975000,1773219818810086916
MarketChange,1773219818810288000,1773219818810462484
MarketChange,1773219818811173000,1773219818811376965
MarketChange,1773219818811330000,1773219818811498018
MarketChange,1773219818813088000,1773219818813245431
MarketChange,1773219818813112000,1773219818813247749
MarketChange,1773219818813135000,1773219818813369680
MarketChange,1773219818830653000,1773219818830719302
Ticker,1773219818922162000,1773219818922330987
Ticker,1773219818922173000,1773219818922454305
Ticker,1773219818922186000,1773219818922456999
Ticker,1773219818922200000,1773219818922459934
Ticker,1773219818922227000,1773219818922461952
Ticker,1773219818922239000,1773219818922577839
MarketChange,1773219818922239000,1773219818922577839
Ticker,1773219818923104000,1773219818923588882
MarketChange,1773219818923104000,1773219818923588882
MarketChange,1773219818923134000,1773219818923592763
MarketChange,1773219818923237000,1773219818923840082
MarketChange,1773219818923316000,1773219818924085372
MarketChange,1773219818928414000,1773219818928576212
MarketChange,1773219818929720000,1773219818929896872
MarketChange,1773219819206480000,1773219819206612279
MarketChange,1773219819238697000,1773219819238819660
MarketChange,1773219819239036000,1773219819239153990
Ticker,1773219819239983000,1773219819240229661
